TRACT,Estimated Median Family Income,Less Than High School,High School,Some College,College Graduate,Graduate School,Educational Attainment Score,% of Single Parent Households,% of Owner Occupied Homes,% of Population Speaking a Language Other than English,Weighted Average ISAT Performance at Attendance Area Schools,Number of School Age Children,Estimated Median Family Income Cumulative Percentage,Educational Attainment Score Cumulative Percentage,% of Single Parent Households Cumulative Percentage,% of Owner Occupied Homes Cumulative Percentage,% of Population Speaking a Language Other than English Cumulative Percentage,Weighted Average ISAT Performance at Attendance Area Schools Cumulative Percentage,6-Factor Socioeconomic Score,6-Factor Socioeconomic Tier
7207,"$77,741",160,324,666,565,413,0.6702,31.25%,50.33%,5.47%,55.11%,468,83.53%,89.74%,65.76%,63.00%,75.43%,51.84%,0.7155,4
7301,"$42,112",134,527,625,171,184,0.5688,42.59%,83.54%,4.09%,63.72%,387,41.25%,74.73%,46.68%,94.00%,79.32%,76.39%,0.6873,4
7302.01,"$41,128",666,1169,1467,394,240,0.5173,80.25%,42.18%,2.11%,50.20%,885,39.49%,59.98%,14.80%,48.32%,87.12%,37.39%,0.4785,2
7302.02,"$47,125",406,902,609,76,164,0.4785,47.76%,76.50%,3.00%,39.08%,480,50.48%,47.30%,40.30%,89.32%,84.52%,18.11%,0.55,3
7303,"$43,733",164,138,419,34,4,0.4883,65.12%,68.70%,2.99%,48.89%,172,44.35%,50.57%,25.38%,82.84%,84.56%,34.95%,0.5377,3
7304,"$65,337",366,779,819,313,194,0.5344,56.03%,79.25%,2.98%,56.61%,536,76.91%,64.68%,32.44%,91.86%,84.78%,57.09%,0.6796,4
7305,"$50,650",376,919,1100,244,252,0.5361,57.58%,79.79%,1.26%,51.51%,707,56.28%,65.31%,31.23%,92.08%,91.86%,42.29%,0.6317,3
7306,"$58,600",282,996,717,141,241,0.5212,27.14%,73.20%,3.02%,56.02%,624,68.39%,60.74%,73.46%,85.38%,83.99%,55.82%,0.713,4
7307,"$42,251",181,680,472,148,57,0.4986,66.67%,75.55%,0.93%,49.53%,460,41.61%,54.20%,24.09%,87.50%,95.19%,36.28%,0.5648,3
7401,"$97,419",159,609,649,520,194,0.5982,19.19%,86.17%,4.84%,82.23%,559,91.69%,80.42%,86.68%,95.94%,77.68%,97.01%,0.8824,4
7402,"$96,643",149,1308,1235,685,634,0.6173,12.50%,90.84%,3.37%,83.74%,1096,91.51%,83.62%,94.21%,98.80%,81.68%,97.67%,0.9125,4
7403,"$93,065",125,826,1035,653,377,0.6219,4.08%,91.70%,4.68%,83.74%,775,90.85%,84.17%,98.39%,99.13%,78.30%,97.67%,0.9142,4
7404,"$91,367",146,1165,1108,385,405,0.5837,25.69%,71.79%,5.68%,74.50%,811,90.30%,77.91%,75.39%,84.64%,75.05%,91.79%,0.8251,4
7501,"$48,624",232,930,1088,418,116,0.5466,68.79%,66.96%,1.01%,43.92%,687,52.43%,68.79%,22.68%,82.38%,94.31%,25.57%,0.5769,3
7502,"$109,490",78,322,674,493,601,0.7123,29.14%,76.81%,7.15%,57.21%,517,93.84%,92.53%,70.75%,89.61%,72.34%,58.78%,0.7964,4
7503,"$93,455",88,271,505,541,321,0.6853,31.73%,77.83%,5.43%,65.38%,486,90.96%,90.78%,63.73%,90.65%,75.75%,78.67%,0.8176,4
7504,"$101,325",143,302,701,585,257,0.6514,29.57%,86.68%,6.58%,65.38%,478,92.17%,88.03%,70.27%,96.50%,73.53%,78.67%,0.8319,4
7505,"$63,565",552,912,1584,532,502,0.5765,53.25%,62.21%,4.82%,53.16%,1026,74.20%,76.54%,35.33%,77.59%,77.91%,47.07%,0.6477,4
7506,"$69,535",340,819,659,310,195,0.5312,32.40%,71.30%,1.99%,45.33%,589,79.73%,63.46%,61.99%,84.46%,87.95%,26.91%,0.6742,4
7608.01,"$54,969",222,764,755,1083,255,0.625,11.92%,26.83%,72.08%,74.78%,362,63.86%,85.18%,95.06%,12.84%,24.06%,92.19%,0.622,3
7608.02,"$67,484",218,479,431,300,134,0.5556,0.00%,81.20%,32.39%,75.10%,177,77.92%,71.85%,100.00%,92.69%,53.27%,92.62%,0.8139,4
7608.03,"$50,354",565,1680,1159,717,544,0.5569,15.30%,46.14%,74.26%,74.78%,918,55.81%,72.39%,90.61%,55.55%,21.86%,92.19%,0.6473,4
7709.02,"$80,811",453,1203,746,361,96,0.4912,55.12%,69.28%,39.88%,74.78%,434,85.01%,51.69%,33.72%,83.19%,47.98%,92.19%,0.6563,4
8104,"$78,669",266,943,882,761,849,0.6532,13.33%,89.43%,40.96%,89.81%,919,84.01%,88.85%,92.87%,98.06%,46.78%,99.61%,0.8503,4
8214.02,"$69,142",215,848,856,222,174,0.5388,48.83%,65.29%,3.50%,52.30%,627,79.15%,66.40%,40.07%,80.38%,81.17%,44.39%,0.6526,4
8233.04,"$54,750",728,1626,1194,411,150,0.4846,31.42%,64.30%,23.92%,74.50%,967,63.60%,48.89%,65.60%,79.55%,60.46%,91.79%,0.6831,4
8305,"$50,551",1227,570,359,186,9,0.3601,26.05%,58.58%,91.06%,53.51%,945,56.03%,9.24%,74.82%,74.12%,2.47%,48.32%,0.4417,2
8306,"$46,480",781,498,891,819,511,0.5875,37.91%,35.19%,51.82%,51.46%,927,49.06%,78.71%,53.18%,31.33%,39.55%,41.76%,0.4893,3
8307,"$58,036",361,586,730,1172,442,0.6455,53.41%,38.23%,31.57%,70.93%,434,67.90%,87.51%,35.09%,38.93%,54.08%,87.69%,0.6187,3
8308,"$84,510",45,129,394,701,514,0.7694,9.61%,18.62%,18.51%,54.56%,176,87.49%,95.71%,96.12%,3.77%,63.27%,50.92%,0.6621,4
8309,"$69,918",238,357,326,733,453,0.6765,11.93%,47.84%,33.22%,63.21%,340,79.99%,90.00%,94.98%,58.44%,52.65%,75.06%,0.7519,4
8310,"$144,863",46,79,161,954,573,0.8128,7.98%,57.77%,10.98%,59.92%,200,97.46%,98.06%,96.49%,73.02%,68.91%,66.16%,0.8335,4
8311,"$66,018",1359,1481,1078,846,304,0.4917,28.39%,39.18%,67.18%,51.48%,1293,77.41%,52.13%,71.40%,41.91%,27.35%,42.12%,0.5205,3
8312,"$36,500",1218,929,501,51,45,0.365,39.31%,37.02%,81.11%,41.63%,1040,24.64%,10.11%,51.07%,35.28%,12.90%,21.90%,0.2598,1
8313,"$29,046",300,301,176,20,0,0.3789,68.57%,49.47%,47.91%,31.20%,278,11.16%,12.49%,22.95%,61.41%,41.53%,6.05%,0.2593,1
8314,"$25,790",579,533,565,175,119,0.4703,74.30%,36.17%,19.37%,71.79%,478,5.11%,43.63%,19.09%,33.35%,62.64%,88.83%,0.4211,2
8315,"$71,341",835,646,822,284,57,0.4549,29.69%,69.87%,77.87%,54.01%,754,80.46%,37.71%,70.16%,83.50%,16.64%,49.28%,0.5629,3
8316,"$56,876",1383,1387,1145,477,173,0.4541,36.94%,49.62%,70.21%,55.79%,1366,66.67%,37.54%,55.12%,62.01%,25.77%,54.78%,0.5031,3
8317,"$63,518",283,441,421,210,40,0.4972,46.45%,54.44%,68.76%,67.32%,331,73.97%,53.66%,42.26%,69.22%,26.23%,81.93%,0.5788,3
8318,"$68,372",758,578,870,979,801,0.6244,27.85%,42.95%,53.11%,65.98%,933,78.50%,84.82%,72.15%,50.40%,38.92%,79.47%,0.6738,4
8319,"$120,072",34,45,106,1271,668,0.8348,0.00%,42.07%,12.63%,74.14%,184,95.16%,99.05%,100.00%,47.79%,67.63%,91.39%,0.835,4
8320,"$117,036",22,200,208,707,437,0.7699,0.00%,42.59%,16.87%,78.97%,76,94.84%,96.01%,100.00%,49.43%,64.71%,95.32%,0.8339,4
8321,"$102,957",184,322,475,969,636,0.72,27.27%,32.64%,28.52%,60.65%,205,92.43%,92.88%,73.25%,25.10%,56.99%,67.71%,0.6806,4
8322,"$125,024",93,235,315,1060,533,0.7525,3.57%,34.36%,25.72%,58.67%,262,95.49%,94.38%,98.48%,29.23%,59.09%,62.93%,0.7327,4
8323,"$135,993",21,121,176,708,276,0.7685,4.66%,41.61%,23.51%,59.86%,161,96.15%,95.64%,98.16%,47.30%,60.89%,66.11%,0.7738,4
8324,"$52,172",197,676,191,680,402,0.6386,20.78%,53.00%,46.85%,54.59%,407,59.61%,86.72%,84.34%,67.43%,42.49%,51.04%,0.6527,4
8325,"$121,540",228,159,391,711,839,0.7524,43.72%,48.80%,16.85%,71.07%,360,95.35%,94.32%,44.75%,60.49%,64.79%,88.61%,0.7472,4
8326,"$187,223",44,80,289,1315,1179,0.8411,22.26%,52.51%,12.21%,71.07%,372,99.01%,99.39%,81.48%,66.07%,68.12%,88.61%,0.8378,4
8329,"$155,282",0,151,307,383,717,0.8139,37.85%,27.54%,21.99%,32.71%,91,97.95%,98.08%,53.20%,13.63%,61.37%,8.22%,0.5541,3
8330,"$217,564",268,164,356,1043,628,0.7301,0.00%,60.57%,13.89%,70.45%,112,99.64%,93.23%,100.00%,75.86%,66.89%,86.54%,0.8703,4
8331,"$169,043",317,420,791,2439,1873,0.7757,21.22%,63.77%,17.99%,66.99%,441,98.59%,96.46%,83.40%,78.84%,63.65%,81.15%,0.8368,4
8333,"$76,525",267,206,276,326,573,0.6888,1.30%,37.65%,37.36%,32.82%,130,82.53%,90.92%,99.06%,37.21%,49.53%,8.25%,0.6125,3
8339,"$26,426",585,425,383,106,66,0.4266,65.53%,30.14%,57.87%,38.28%,672,5.99%,26.24%,25.04%,19.38%,35.14%,15.83%,0.2127,1
8340,"$41,175",323,784,749,163,95,0.4981,63.25%,18.61%,1.73%,42.33%,720,39.65%,53.96%,27.07%,3.73%,89.31%,23.66%,0.3956,2
8342,"$46,511",471,1016,1205,614,181,0.5437,78.31%,35.57%,1.52%,33.15%,861,49.25%,67.72%,16.99%,32.08%,90.59%,8.96%,0.4427,2
8343,"$56,178",574,912,1620,995,393,0.5876,71.32%,73.97%,3.08%,33.11%,967,65.82%,78.93%,21.76%,86.25%,83.63%,8.77%,0.5753,3
8344,"$90,515",314,405,975,588,339,0.6178,76.81%,41.29%,5.67%,27.06%,782,90.12%,83.80%,17.89%,46.43%,75.23%,1.81%,0.5255,3
8345,"$24,624",297,322,174,63,44,0.43,93.64%,28.57%,3.87%,29.71%,387,3.58%,27.73%,3.46%,15.01%,80.18%,3.93%,0.2232,1
8346,"$26,488",488,845,672,134,61,0.4577,88.22%,37.16%,1.13%,48.45%,746,6.16%,39.83%,7.21%,35.61%,92.76%,34.00%,0.3593,2
8347,"$38,530",424,447,321,40,2,0.3972,79.05%,30.95%,0.98%,27.06%,419,33.06%,16.20%,15.76%,21.70%,94.89%,1.53%,0.3052,1
8348,"$31,976",390,490,394,27,23,0.4192,86.67%,30.36%,0.77%,56.91%,383,14.79%,21.77%,7.66%,20.30%,95.60%,58.67%,0.3646,2
8349,"$17,624",487,266,501,44,0,0.4157,90.15%,27.15%,1.03%,30.38%,482,1.47%,20.27%,5.48%,13.14%,93.79%,4.54%,0.2312,1
8350,"$36,726",1023,1243,826,227,90,0.4309,62.14%,38.88%,24.47%,39.78%,1369,25.69%,28.42%,27.90%,40.80%,60.09%,19.56%,0.3374,1
8351,"$39,635",1489,712,444,216,1,0.3574,40.05%,55.67%,74.80%,51.18%,1223,36.26%,8.69%,49.57%,71.04%,20.89%,40.64%,0.3785,2
8352,"$60,002",408,450,259,126,59,0.443,7.06%,63.28%,60.44%,72.98%,331,69.90%,33.27%,96.97%,78.26%,32.91%,90.57%,0.6698,4
8355,"$18,385",450,410,328,64,34,0.4168,78.77%,30.78%,8.96%,43.26%,278,2.13%,20.83%,16.18%,21.60%,70.99%,24.98%,0.2612,1
8356,"$45,729",259,166,216,71,38,0.4568,80.83%,32.58%,0.78%,46.74%,244,47.60%,38.82%,13.86%,25.05%,95.52%,30.35%,0.4187,2
8358,"$52,782",94,199,248,176,251,0.6601,58.67%,36.20%,0.65%,43.29%,249,60.75%,89.17%,29.88%,33.59%,96.34%,25.05%,0.558,3
8359,"$34,970",542,461,592,315,134,0.5059,87.84%,23.24%,6.82%,38.74%,590,20.91%,56.11%,7.57%,8.02%,72.48%,17.19%,0.3038,1
8360,"$55,221",122,284,451,277,204,0.6235,57.54%,47.34%,2.71%,30.65%,393,64.07%,84.42%,31.32%,58.02%,85.18%,4.97%,0.5466,3
8361,"$30,910",221,372,347,86,41,0.4789,98.54%,26.93%,3.76%,33.42%,461,13.53%,47.46%,1.51%,12.95%,80.57%,9.12%,0.2752,1
8362,"$204,905",13,3,33,93,125,0.8352,0.00%,55.88%,28.12%,60.83%,25,99.42%,99.12%,100.00%,71.23%,57.18%,68.63%,0.826,4
8363,"$60,899",151,147,301,204,256,0.6504,47.37%,40.00%,4.53%,34.00%,141,70.32%,87.90%,41.13%,43.96%,78.50%,10.02%,0.553,3
8364,"$33,234",326,316,613,376,354,0.6117,55.53%,32.14%,8.16%,29.33%,636,16.80%,83.14%,33.15%,24.08%,71.34%,3.36%,0.3864,2
8365,"$40,468",171,241,348,109,16,0.5001,67.06%,13.75%,4.73%,28.53%,352,38.69%,54.44%,23.50%,2.26%,78.12%,3.10%,0.3335,1
8366,"$29,357",640,520,516,149,50,0.4346,63.23%,34.27%,40.29%,57.89%,578,11.37%,29.94%,27.21%,29.16%,47.34%,61.46%,0.3441,1
8367,"$28,602",371,627,283,112,49,0.4393,92.97%,29.82%,17.54%,57.63%,583,10.25%,32.12%,3.77%,18.97%,64.08%,60.51%,0.3162,1
8368,"$28,461",248,608,367,117,47,0.4712,96.46%,17.89%,1.40%,47.83%,472,9.76%,43.95%,1.88%,3.34%,90.78%,32.82%,0.3042,1
8369,"$37,455",157,247,201,45,120,0.5283,77.27%,28.08%,3.97%,53.47%,309,28.83%,62.23%,17.54%,14.00%,79.86%,48.04%,0.4175,2
8370,"$17,950",278,458,443,105,48,0.4779,82.12%,24.97%,3.94%,61.51%,465,1.58%,46.95%,12.29%,9.80%,79.96%,70.72%,0.3688,2
8371,"$25,027",367,241,401,144,84,0.4928,72.60%,32.98%,8.18%,58.62%,324,3.89%,52.77%,21.11%,25.58%,71.19%,62.77%,0.3955,2
8373,"$39,839",478,409,368,162,35,0.4439,82.67%,37.00%,5.99%,61.08%,468,36.90%,33.69%,11.55%,34.92%,74.39%,69.12%,0.4343,2
8374,"$28,978",311,421,379,160,13,0.4665,73.51%,28.31%,5.77%,60.52%,458,10.77%,42.32%,20.38%,14.36%,74.76%,67.65%,0.3837,2
8378,"$33,347",295,468,558,196,88,0.5145,77.24%,23.86%,9.26%,52.68%,444,17.33%,58.61%,17.64%,8.52%,70.59%,45.01%,0.3628,2
8380,"$31,600",589,214,424,501,123,0.5303,75.33%,28.38%,12.89%,50.80%,388,13.76%,62.76%,18.26%,14.86%,67.50%,39.72%,0.3614,2
8381,"$84,808",322,255,221,322,296,0.6021,24.69%,19.06%,23.77%,42.84%,96,87.51%,80.95%,77.22%,4.30%,60.54%,24.36%,0.5581,3
8382,"$122,915",135,35,83,184,258,0.7137,38.20%,33.51%,34.19%,52.62%,100,95.38%,92.56%,52.37%,27.27%,51.11%,44.78%,0.6058,3
8383,"$44,891",177,424,144,227,160,0.5592,89.31%,13.57%,32.46%,18.16%,176,46.34%,73.23%,6.26%,2.10%,53.18%,0.04%,0.3019,1
8386,"$32,296",230,187,366,85,26,0.4859,58.65%,13.65%,3.06%,41.29%,331,15.05%,49.45%,29.96%,2.18%,83.70%,20.86%,0.3353,1
8387,"$28,912",881,999,556,127,52,0.4065,82.43%,21.85%,1.30%,27.79%,1175,10.67%,19.69%,12.04%,6.22%,91.44%,2.50%,0.2376,1
8388,"$39,090",588,732,474,36,10,0.3987,64.58%,38.43%,37.40%,38.49%,757,34.88%,16.37%,25.69%,39.46%,49.50%,16.53%,0.304,1
8390,"$140,452",159,401,518,2610,2022,0.8079,25.39%,48.50%,20.74%,73.87%,289,96.95%,97.79%,76.02%,60.10%,62.14%,91.22%,0.807,4
8391,"$188,813",381,316,643,1235,858,0.7091,44.68%,38.40%,23.85%,73.87%,68,99.02%,92.25%,44.09%,39.22%,60.52%,91.22%,0.7105,4
8392,"$58,163",275,257,681,491,324,0.6327,72.44%,42.27%,14.75%,44.67%,225,67.95%,85.83%,21.16%,48.94%,66.27%,26.26%,0.5273,3
8395,"$131,821",236,229,359,233,261,0.6082,65.66%,36.93%,3.90%,58.16%,118,95.95%,82.24%,24.89%,34.80%,79.99%,62.26%,0.6335,3
8396,"$43,620",393,295,355,271,225,0.5532,80.46%,37.64%,7.49%,44.52%,253,44.02%,70.83%,14.60%,37.10%,71.75%,25.90%,0.4403,2
8397,"$54,735",529,883,557,558,292,0.5433,44.57%,38.99%,51.30%,45.88%,651,63.27%,67.53%,44.24%,41.17%,39.83%,28.49%,0.4742,2
8398,"$54,522",353,700,385,266,313,0.549,11.86%,35.93%,54.14%,75.61%,348,63.12%,69.54%,95.18%,32.56%,38.25%,93.28%,0.6532,4
8399,"$77,320",465,934,814,450,253,0.5377,36.43%,50.37%,31.49%,57.30%,571,82.89%,65.68%,56.17%,63.13%,54.44%,59.69%,0.6367,3
8400,"$81,135",415,543,441,337,425,0.5828,2.05%,58.83%,44.64%,71.80%,470,85.12%,77.45%,98.77%,74.79%,43.54%,88.94%,0.781,4
8401,"$33,384",673,639,293,194,171,0.4529,31.70%,37.28%,64.73%,77.87%,422,17.43%,37.07%,64.19%,36.13%,30.12%,94.89%,0.4664,2
8402,"$54,038",351,459,331,159,160,0.5066,35.75%,52.86%,67.78%,61.58%,341,62.27%,56.31%,56.56%,66.93%,26.72%,71.22%,0.5667,3
8403,"$49,342",1253,1093,259,181,71,0.3707,16.31%,59.45%,71.65%,47.16%,833,53.63%,11.34%,89.88%,75.17%,24.25%,30.91%,0.4753,2
8404,"$44,961",731,905,321,360,88,0.4477,25.43%,55.78%,72.31%,54.70%,553,46.57%,35.40%,75.96%,71.17%,23.10%,51.34%,0.5059,3
8407,"$30,574",1205,394,290,151,173,0.3915,45.00%,24.98%,87.14%,34.29%,956,13.01%,14.72%,43.51%,10.02%,6.30%,10.72%,0.1638,1
8408,"$32,803",990,544,179,68,40,0.339,37.57%,36.00%,91.81%,59.96%,884,15.92%,3.28%,54.53%,32.87%,2.25%,66.46%,0.2922,1
8410,"$37,957",140,101,53,183,84,0.5893,76.92%,46.81%,9.73%,42.36%,63,30.11%,78.95%,17.71%,57.51%,69.91%,23.67%,0.4631,2
8411,"$38,456",2018,1660,512,964,371,0.4556,16.12%,40.75%,84.49%,78.99%,922,32.69%,38.00%,90.09%,45.34%,9.14%,95.54%,0.518,3
8412,"$35,723",1322,843,606,321,159,0.4248,46.16%,28.61%,79.45%,54.42%,1175,23.03%,24.72%,42.53%,15.43%,14.56%,50.57%,0.2847,1
8413,"$37,357",1283,708,477,307,111,0.4098,43.70%,31.81%,74.42%,52.22%,875,28.45%,19.94%,44.95%,23.40%,21.34%,44.17%,0.3037,1
8414,"$15,466",135,464,231,42,22,0.455,86.00%,27.24%,2.16%,35.80%,349,0.82%,37.79%,8.30%,13.53%,86.62%,12.59%,0.2661,1
8415,"$34,777",408,514,452,83,13,0.4339,93.68%,19.87%,0.00%,20.86%,815,20.27%,29.81%,3.26%,4.77%,100.00%,0.34%,0.2641,1
8416,"$26,009",114,221,216,68,27,0.4988,98.31%,22.76%,0.00%,28.31%,244,5.34%,54.26%,1.64%,6.92%,100.00%,2.95%,0.2852,1
8417,"$47,244",401,227,202,89,36,0.4182,59.09%,15.65%,44.20%,30.08%,246,50.54%,21.45%,29.37%,2.94%,44.11%,4.26%,0.2545,1
8418,"$30,442",224,331,584,202,71,0.5384,89.91%,44.44%,0.60%,28.13%,503,12.61%,66.25%,5.91%,52.76%,96.46%,2.82%,0.3947,2
8419,"$158,260",103,261,518,1072,882,0.7671,14.73%,69.88%,23.74%,37.31%,249,98.12%,95.60%,91.20%,83.55%,60.61%,14.65%,0.7396,4
8420,"$103,513",336,269,267,306,320,0.6007,26.42%,70.13%,25.48%,57.43%,107,92.45%,80.87%,74.36%,83.58%,59.12%,60.28%,0.7511,4
8421,"$27,479",1070,1440,1133,216,31,0.4302,58.53%,48.00%,33.94%,39.03%,1267,7.59%,28.11%,30.37%,59.31%,51.40%,17.95%,0.3245,1
8422,"$23,613",216,241,471,552,280,0.6499,76.32%,46.60%,10.36%,20.82%,257,2.92%,87.87%,17.95%,56.68%,69.45%,0.15%,0.3917,2
8423,"$139,716",172,306,449,1005,805,0.7436,22.68%,51.34%,14.79%,64.04%,214,96.29%,93.86%,80.21%,64.30%,66.22%,76.59%,0.7958,4
8424,"$37,931",359,609,651,228,202,0.5322,92.17%,60.60%,0.39%,34.19%,461,29.67%,63.85%,4.51%,75.96%,97.07%,10.17%,0.4687,2
8425,"$10,768",307,247,374,65,8,0.4442,100.00%,10.90%,3.21%,30.72%,825,0.25%,33.88%,1.40%,0.71%,82.70%,5.28%,0.207,1
8426,"$46,886",629,795,852,333,227,0.5107,22.62%,55.23%,27.79%,45.41%,878,50.20%,57.13%,80.55%,69.77%,57.38%,27.19%,0.5704,3
8428,"$35,662",2147,1245,470,248,58,0.3517,32.35%,39.82%,87.44%,57.74%,1891,22.55%,6.37%,62.43%,43.50%,5.81%,61.33%,0.3366,1
8429,"$24,995",675,347,367,159,105,0.4393,100.00%,19.00%,11.27%,33.69%,400,3.82%,32.21%,1.40%,4.27%,68.65%,9.62%,0.2,1
8430,"$29,633",404,347,445,57,71,0.4556,72.41%,17.32%,0.00%,38.38%,465,11.67%,38.11%,21.26%,3.17%,100.00%,15.94%,0.3169,1
8431,"$36,515",269,404,286,77,51,0.4596,63.33%,25.00%,4.02%,22.15%,345,24.72%,40.40%,26.77%,10.14%,79.60%,0.56%,0.3036,1
8432,"$46,742",646,415,366,135,72,0.4252,43.15%,31.25%,82.71%,48.90%,553,49.64%,24.90%,45.73%,22.12%,10.91%,35.08%,0.314,1
8433,"$27,275",206,328,97,70,40,0.4408,80.77%,25.00%,44.62%,34.86%,202,6.88%,32.44%,14.14%,10.14%,43.59%,11.36%,0.1976,1
8434,"$28,315",253,276,151,96,11,0.4313,64.06%,37.71%,11.24%,47.52%,204,9.65%,28.47%,26.48%,37.45%,68.76%,31.33%,0.3369,1
8435,"$26,838",3405,2754,1615,68,39,0.361,33.33%,40.27%,21.40%,60.06%,345,6.46%,9.87%,59.74%,44.32%,61.73%,66.54%,0.4144,2
8436,"$28,500",394,402,554,223,184,0.5318,77.59%,28.63%,3.27%,30.92%,521,9.88%,63.63%,17.31%,15.60%,82.26%,5.58%,0.3238,1
8437,"$92,040",113,228,229,624,274,0.6978,26.32%,50.49%,22.25%,75.47%,332,90.53%,91.60%,74.44%,63.21%,61.35%,93.11%,0.7904,4
8438,"$46,627",285,383,476,158,21,0.4862,52.36%,46.69%,12.34%,27.17%,448,49.51%,49.55%,36.49%,57.47%,67.78%,1.92%,0.4378,2
8439,"$69,425",422,383,904,489,559,0.6276,75.00%,35.74%,7.60%,32.19%,427,79.59%,85.44%,18.71%,32.36%,71.69%,7.13%,0.4915,3
